algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,uu_road,52.86626447245257,49.00177069268696,44.43207550048828,65.25265502929688,11.324155807495117,34.747344970703125
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,um_road,65.10966799208077,63.863883245179785,59.42164611816406,72.00191497802734,9.931644439697266,27.998083114624023
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,umm_road,75.3123798485848,74.14146157913568,69.08602905273438,82.7721939086914,11.431998252868652,17.227807998657227
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,uu_road,59.451776441812484,57.56398978148574,53.25068664550781,67.28746032714844,9.368422508239746,32.71254348754883
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,um_road,68.06428238975069,67.0140414219635,64.39289855957031,72.17962646484375,7.5312724113464355,27.820375442504883
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,umm_road,81.8687398564634,84.95961830882202,74.86276245117188,90.3214111328125,9.675139427185059,9.678593635559082
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,uu_road,54.10200636306076,54.52693737161535,45.3629150390625,67.0116958618164,11.199978828430176,32.98830795288086
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,um_road,71.79740096840011,76.21506840530141,67.02299499511719,77.30419921875,7.68276834487915,22.695804595947266
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,umm_road,79.77012875580989,82.51945988200711,74.6441879272461,85.65199279785156,8.980324745178223,14.348006248474121
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,uu_road,67.03191133591696,70.7759978366884,61.50276565551758,73.65341186523438,7.311561584472656,26.346588134765625
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,um_road,75.95369596518327,80.04994288041598,71.91545104980469,80.47244262695312,5.92990255355835,19.52756118774414
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,umm_road,84.49194184960145,87.66257066599671,83.53600311279297,85.47000885009766,5.373906135559082,14.529989242553711
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,uu_road,68.20954995035537,71.87762416000436,68.28909301757812,68.13019561767578,4.390127182006836,31.86980438232422
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,um_road,79.59998644649566,83.90087328233388,75.523193359375,84.14203643798828,5.50826358795166,15.857967376708984
